ID,ZIP Code,Age (in years),Experience (in years),Income (in K/month),Family members,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
32,94117,40,16,29,1,2,2,0,0,0,0,1,0
33,94801,53,28,41,2,0.6,3,193,0,0,0,0,0
34,91330,30,6,18,3,0.9,3,0,0,0,0,0,0
35,94035,31,5,50,4,1.8,3,0,0,0,0,1,0
36,92647,48,24,81,3,0.7,1,0,0,0,0,0,0
37,94720,59,35,121,1,2.9,1,0,0,0,0,0,1
38,95814,51,25,71,1,1.4,3,198,0,0,0,0,0
39,94114,42,18,141,3,5,3,0,1,1,1,1,0
40,94115,38,13,80,4,0.7,3,285,0,0,0,1,0
41,92672,57,32,84,3,1.6,3,0,0,1,0,0,0
42,94122,34,9,60,3,2.3,1,0,0,0,0,0,0
43,90019,32,7,132,4,1.1,2,412,1,0,0,1,0
44,95616,39,15,45,1,0.7,1,0,0,0,0,1,0
45,94065,46,20,104,1,5.7,1,0,0,0,0,1,1
46,94720,57,31,52,4,2.5,1,0,0,0,0,0,1
47,95014,39,14,43,3,0.7,2,153,0,0,0,1,0
48,91380,37,12,194,4,0.2,3,211,1,1,1,1,1
49,95747,56,26,81,2,4.5,3,0,0,0,0,0,1
50,92373,40,16,49,1,1.8,1,0,0,0,0,0,1
51,92093,32,8,8,4,0.7,2,0,0,1,0,1,0
52,94720,61,37,131,1,2.9,1,0,0,0,0,1,0
53,94005,30,6,72,1,0.1,1,207,0,0,0,0,0
54,90245,50,26,190,3,2.1,3,240,1,0,0,1,0
55,95819,29,5,44,1,0.2,3,0,0,0,0,1,0
56,94022,41,17,139,2,8,1,0,0,0,0,1,0
57,94005,55,30,29,3,0.1,2,0,0,1,1,1,0
58,95616,56,31,131,2,1.2,3,0,1,0,0,0,0
59,94065,28,2,93,,0.2,1,0,0,0,0,0,0
60,91320,31,5,188,2,4.5,1,455,0,0,0,0,0
61,90404,49,24,39,3,1.7,2,0,0,1,0,1,0
62,93407,47,21,125,1,5.7,1,112,0,1,0,0,0
63,90089,42,18,22,1,1,1,0,0,0,0,0,0
64,94523,42,17,32,4,0,2,0,0,0,0,1,0
65,90024,47,23,105,2,3.3,1,0,0,0,0,0,0
66,91360,59,35,131,1,3.8,1,0,0,0,0,1,1
67,95670,62,36,105,2,2.8,1,336,0,0,0,0,0
68,95123,53,23,45,4,2,3,132,0,1,0,0,0
69,93407,47,21,60,3,2.1,1,0,0,0,0,1,1
70,90045,53,29,20,4,0.2,1,0,0,0,0,1,0
71,91335,42,18,115,1,3.5,1,0,0,0,0,0,1
72,93907,53,29,69,4,1,2,0,0,0,0,1,0
73,92007,44,20,130,1,5,1,0,0,0,0,0,1
74,94606,41,16,85,1,4,3,0,0,0,0,1,1
75,94611,28,3,135,2,3.3,1,0,0,0,0,0,1
76,94901,31,7,135,4,3.8,2,0,1,0,1,1,1
77,91320,58,32,12,3,0.3,3,0,0,0,0,0,0
78,92220,46,20,29,3,0.5,2,0,0,0,0,0,0
79,93305,54,30,133,2,2.6,3,0,1,0,0,0,0
80,94720,50,26,19,2,0.4,1,118,0,0,0,1,0
81,95134,60,36,41,4,1.3,1,174,0,0,0,1,1
82,94612,47,22,40,3,2.7,2,0,0,0,0,1,0
83,92507,41,16,82,1,4,3,0,0,0,0,1,0
84,94305,33,9,50,1,2.4,2,0,0,0,0,0,0
85,91730,46,22,18,1,0.9,3,0,0,0,0,1,0
86,94005,27,2,109,4,1.8,3,0,0,0,0,0,0
87,94501,40,16,42,4,2.2,2,126,0,0,0,0,0
88,94305,48,22,78,3,1.1,1,0,0,0,0,1,0
89,94117,65,41,51,2,1.1,1,0,0,0,0,1,0
90,94303,25,-1,113,4,2.3,3,0,0,0,0,0,1
91,90277,55,30,118,4,5.6,2,0,1,0,0,1,0
92,94105,35,10,29,4,1.1,3,0,0,0,0,1,0
93,94305,43,19,34,3,0.6,2,0,0,0,0,0,0
94,94550,60,34,64,2,1.7,3,236,0,1,0,1,0
95,92612,65,39,121,1,2,1,0,0,0,0,0,0
96,95617,38,12,48,4,0.2,3,0,0,0,0,1,0
97,95014,41,15,80,1,5.2,1,0,0,0,0,0,0
98,92121,54,28,161,1,2.9,1,0,0,0,0,1,0
99,92374,49,23,94,,0.3,1,0,0,0,0,1,0
100,91711,66,41,15,3,0.1,3,0,0,0,0,1,0
101,94080,48,23,74,1,1.2,1,0,0,0,0,1,0
102,94608,61,36,30,3,1.3,2,0,0,0,0,0,0
103,93555,53,23,44,3,1,3,198,0,0,0,1,1
104,95670,43,18,22,2,0.3,2,0,0,0,0,1,0
105,93311,56,32,38,4,1.3,1,166,0,0,0,1,1
106,94704,24,0,35,3,0.1,2,0,0,1,0,1,0
107,92717,43,17,69,4,2.9,1,0,0,0,0,1,1
108,92037,42,18,43,1,0.7,1,136,0,0,0,0,0
109,95136,33,7,32,1,0.6,3,166,0,0,0,1,0
110,94542,43,17,49,1,2.8,1,0,0,0,0,1,0
111,91330,41,14,9,3,1,2,0,0,0,0,0,0
112,94143,62,38,45,4,1.3,2,0,0,0,0,1,0
113,91775,40,15,82,3,1,1,309,0,0,0,0,0
114,92703,58,34,92,2,2.8,1,103,0,0,0,0,0
115,92354,39,14,39,3,0.5,3,0,0,0,0,1,0
116,92024,65,40,81,3,1.8,2,0,0,0,0,1,0
117,92831,54,29,35,1,1.5,2,0,0,0,0,1,0
118,92833,58,33,61,2,2.3,3,193,0,0,0,1,0
119,92647,41,16,73,3,3,1,0,0,0,0,1,0
120,94304,32,7,112,1,4.6,1,366,0,0,0,0,0
121,90057,54,29,12,2,0.2,3,0,0,0,0,1,0
122,91711,52,26,38,3,0.9,3,0,0,0,0,1,0
123,94523,58,32,73,2,0.7,2,0,0,0,0,1,1
124,92130,37,13,84,1,3.6,2,0,0,1,0,0,0
125,92121,39,15,78,4,2.4,1,118,0,0,0,1,0
126,91301,60,35,80,3,0.5,1,0,0,0,0,1,0
127,92096,31,5,115,2,1.3,1,101,0,0,0,1,1
128,92646,34,8,82,1,2.7,2,251,0,0,0,1,0
129,92182,38,14,74,2,0,1,0,0,1,0,1,0
130,92131,41,16,70,3,0.5,3,0,0,0,0,0,1
131,94801,28,4,81,3,1.5,1,276,0,0,0,1,0
132,93720,58,34,149,4,7.2,2,0,1,0,1,1,1
133,90840,31,1,51,2,1.75,3,0,0,0,0,0,0
134,90245,30,4,39,3,1.1,2,0,0,0,0,1,0
135,95035,53,29,98,3,1.8,2,0,0,0,0,0,0
136,93010,58,33,45,4,2.1,1,0,0,0,0,1,1
137,95035,59,32,49,4,2.5,2,0,0,0,0,1,0
138,95054,49,25,128,2,0.4,1,0,0,0,0,0,0
139,94928,59,34,42,3,1.5,1,0,0,1,1,0,1
140,93305,59,35,18,1,1.2,3,0,0,0,0,1,0
141,90245,51,25,31,2,0.4,3,161,0,0,0,1,1
142,95831,35,11,58,3,2,1,149,0,0,0,1,1
143,91770,33,9,48,1,2.1,3,0,0,0,0,0,1
144,94117,25,1,54,4,1.6,1,0,0,0,0,1,1
145,92093,49,23,70,2,1.5,2,0,0,0,0,0,0
146,90007,59,35,124,1,7.4,1,0,0,0,0,0,1
147,94102,46,19,84,1,2.67,2,0,0,0,0,1,1
148,94542,50,25,83,4,3.6,3,188,0,0,0,1,0
149,91423,52,28,163,2,0.4,1,116,0,0,0,1,0
150,93955,48,22,42,3,2.2,2,0,0,0,0,0,0
151,94107,46,22,118,2,7.5,1,0,0,0,1,1,1
152,92834,26,0,132,3,6.5,3,0,1,0,0,0,1
153,93117,57,32,24,1,1.3,1,0,0,0,0,1,1
154,94551,60,36,22,2,1,1,0,0,1,1,1,1
155,92612,54,29,58,4,1.3,3,0,0,0,0,0,0
156,94596,24,0,60,4,1.6,1,0,0,0,0,1,0
157,92131,26,0,15,4,0.4,1,0,0,0,0,0,1
158,94025,41,17,83,4,2.67,1,0,0,0,0,1,1
159,94720,32,6,79,2,1.5,3,0,0,0,0,1,1
160,94545,61,35,41,4,1.7,2,0,0,1,0,1,0
161,95819,29,0,134,4,6.5,3,0,1,0,0,0,0
162,95053,61,35,80,,2.8,1,0,0,0,0,1,0
163,90036,38,12,52,1,2,1,0,0,0,0,0,0
164,91125,28,4,70,4,2.6,1,0,0,0,0,1,0
165,95120,53,27,92,2,1.1,1,0,0,1,0,0,0
166,94706,27,1,43,1,1.5,1,0,0,0,0,1,0
167,95827,25,1,21,3,1,2,0,0,0,0,0,0
168,94305,33,9,23,3,0.9,3,0,0,0,0,1,1
169,91320,50,26,13,4,1,1,0,0,0,0,1,0
170,90503,27,1,112,4,2.1,3,0,0,0,0,0,1
171,90250,27,1,138,2,2,1,0,0,0,0,1,0
172,95817,52,28,11,3,0.4,1,0,0,1,0,0,0
173,92717,38,13,171,2,7.8,1,0,0,0,0,1,0
174,90095,58,34,42,4,1.5,1,0,0,0,0,1,1
175,95503,42,17,168,2,7.9,2,0,1,0,0,1,0
176,91711,45,20,85,4,1.1,2,0,0,1,0,1,0
177,93111,52,25,44,3,1,2,135,0,0,0,1,0
178,94132,29,3,65,4,1.8,2,244,0,0,0,0,0
179,95818,53,29,24,4,0.2,1,0,0,0,0,1,1
180,91942,62,37,11,1,0.1,1,0,0,0,0,1,0
181,90401,51,27,38,2,1,3,164,0,0,0,1,0
182,93524,36,12,10,4,0.7,2,81,0,0,0,0,0
183,95133,24,0,135,1,1.5,1,0,0,0,0,1,0
184,92173,29,3,148,3,4.1,1,0,1,0,0,1,0
185,92717,52,26,63,2,1.5,2,0,0,1,0,1,0
186,91320,39,14,115,1,1,3,0,0,0,0,1,0
187,95616,48,23,45,1,0.3,1,0,0,0,0,1,1
188,94305,46,21,159,3,1.9,3,315,1,0,0,1,0
189,91320,64,40,169,2,2.1,1,122,0,0,0,1,0
190,94043,55,29,112,2,1.4,1,0,0,0,0,1,0
191,92521,60,36,93,1,4.3,1,0,0,0,0,1,0
192,90404,51,25,29,1,0.3,3,140,0,0,0,0,0
193,92122,50,23,85,1,2.67,2,0,0,0,0,1,0
194,93118,48,24,21,4,0.6,1,0,0,0,0,1,1
195,92697,53,29,144,2,6.8,1,0,0,0,0,1,0
196,94577,34,10,13,4,1,1,95,0,1,0,1,0
197,93407,48,24,165,1,5,1,0,0,0,0,0,1
198,91345,55,31,9,4,0.7,1,89,0,0,0,1,0
199,94123,27,3,59,4,0,1,90,0,1,0,1,0
200,92152,36,11,158,1,5.1,3,0,1,0,1,1,1
201,91355,32,6,29,1,1.9,3,0,0,0,0,1,1
202,94609,35,9,20,2,1.4,3,0,0,0,0,1,1
203,94306,30,3,68,4,2,2,0,0,0,0,1,0
204,95747,58,34,65,4,2.2,1,0,0,0,0,1,0
205,96150,56,31,61,2,1.9,2,105,0,0,0,0,0
206,95616,38,12,91,4,1.4,2,100,0,0,0,0,1
207,91355,49,25,31,1,1,1,0,0,1,0,1,0
208,94115,34,10,71,4,0.1,2,0,0,0,0,0,0
209,94110,40,16,73,4,2.67,1,0,0,0,0,1,1
210,94707,64,39,172,4,3.1,1,282,1,0,1,1,1
211,92131,51,26,20,2,0,1,0,0,0,0,0,0
212,94720,44,18,55,1,0.2,1,0,0,0,0,0,0
213,91604,46,22,69,2,1.7,1,209,0,0,0,0,0
214,91326,57,33,155,1,7.4,1,0,0,0,0,1,0
215,90291,54,28,94,1,1.9,2,0,0,0,0,0,0
216,95818,38,14,92,2,0,1,249,0,0,0,1,1
217,95521,27,3,125,2,0.6,1,0,0,0,0,0,0
218,94305,39,14,74,3,3,1,0,0,0,0,0,0
219,92807,44,20,72,3,0.3,3,0,0,0,0,1,0
220,94707,56,30,61,1,2.2,3,0,0,0,0,1,1
221,92130,32,6,25,2,0.3,1,0,0,0,0,0,1
222,95051,45,19,83,2,1.7,2,0,0,0,0,1,0
223,94306,26,2,104,3,2.5,1,0,0,0,0,0,0
224,95014,55,25,41,3,1,3,0,0,0,0,1,0
225,94305,52,27,58,4,1.8,3,91,0,0,0,0,0
226,94720,39,13,93,1,1.5,3,0,0,0,0,0,1
227,94085,24,-1,39,2,1.7,2,0,0,0,0,0,0
228,94551,47,23,148,2,7.5,1,0,0,0,1,1,1
229,92677,47,22,53,4,1.9,3,98,0,1,1,0,1
230,93117,48,24,71,2,1.7,1,145,0,0,0,0,1
231,94720,47,22,92,1,2.8,2,0,0,0,0,1,0
232,94304,35,10,61,4,2.1,3,0,0,0,0,1,0
233,94122,46,19,38,3,2.5,2,135,0,0,0,0,0
234,91320,62,37,58,4,1.7,1,0,0,0,0,1,0
235,95616,26,1,80,1,0.8,2,150,0,0,0,0,0
236,94720,38,8,71,,1.8,3,0,0,0,0,1,0
237,93407,43,18,89,3,0.5,3,0,0,0,0,1,1
238,92521,62,38,83,1,1.8,3,0,0,0,0,1,0
239,95831,57,32,28,3,0.2,1,0,0,0,0,1,1
240,94112,28,3,52,4,1.7,2,0,0,0,0,0,0
241,90089,51,26,70,1,1.2,1,169,0,0,0,0,0
242,91711,48,22,71,1,1.4,3,0,0,0,0,0,1
243,94005,41,16,75,1,3.7,3,280,0,0,0,0,0
244,90095,65,39,170,3,7.9,3,99,1,0,1,1,0
245,94025,41,17,78,4,0.8,1,78,0,0,0,1,0
246,92614,35,11,25,2,1,2,0,0,0,0,0,0
247,94025,38,14,60,2,0.6,3,0,0,0,0,1,1
248,92626,53,29,120,4,2.7,2,111,1,1,1,1,0
249,92121,55,29,99,2,1.4,1,264,0,0,0,1,1
250,90089,26,1,55,3,2.6,3,113,0,0,0,0,1
251,94305,30,6,29,3,1,2,117,0,0,0,0,0
252,92182,54,28,170,2,6.2,2,325,1,0,0,1,0
253,91711,65,40,53,3,2.2,1,0,0,0,0,0,1
254,94583,47,21,138,1,0,1,0,0,0,0,0,0
255,91942,65,41,134,3,3.9,3,121,1,0,0,1,0
256,92103,66,40,42,2,0.7,3,138,0,0,0,0,1
257,92697,26,0,99,4,2.3,3,0,0,0,0,0,1
258,92691,66,41,18,3,0.5,1,0,0,0,0,0,1
259,95747,35,9,24,4,0.3,1,0,0,0,0,1,0
260,94107,56,30,55,1,1.4,1,77,0,0,0,1,0
261,92407,51,27,58,1,0,1,0,0,0,0,0,1
262,93106,42,16,111,2,1.2,3,251,1,0,0,1,0
263,90245,49,23,33,1,0.3,3,0,0,0,1,1,1
264,92121,27,1,74,4,1.8,2,112,0,0,0,1,1
265,90840,45,19,38,2,0.7,1,0,0,0,0,0,0
266,94305,49,23,23,4,0.6,3,98,0,1,0,0,0
267,94720,63,38,61,2,1.5,1,0,0,0,0,1,0
268,90504,47,22,81,1,2.9,1,138,0,0,0,0,0
269,94002,64,39,129,1,2.5,1,0,0,0,0,1,0
270,95039,43,13,33,1,0.75,3,0,0,0,0,0,0
271,94063,60,36,63,4,2.2,1,0,0,0,0,1,0
272,94923,40,14,70,4,1.4,2,0,0,0,0,1,0
273,95023,29,3,45,4,0.2,1,158,0,0,0,1,1
274,90095,41,16,65,3,0.5,3,0,0,0,0,1,0
275,95616,30,5,74,4,2.2,1,0,0,1,0,0,1
276,94706,49,24,50,4,1.8,3,0,0,1,0,0,0
277,90058,30,5,22,4,0.5,3,109,0,0,0,1,0
278,92126,29,2,30,4,1,3,0,0,0,0,0,0
279,91125,50,26,21,4,1,1,0,0,0,0,1,0
280,94577,39,14,155,2,3.9,1,0,0,0,0,1,0
281,92121,33,8,64,4,2.1,3,164,0,0,0,1,0
282,94118,57,31,65,4,2.6,3,0,0,0,0,0,1
283,91711,34,9,71,4,0.7,3,0,0,0,0,1,0
284,90029,61,36,40,3,0.5,2,0,0,1,0,1,0
285,92806,44,19,69,3,0.5,3,0,0,0,0,1,0
286,94305,40,13,69,3,2.33,2,0,0,0,0,0,0
287,94806,51,25,45,3,0.6,2,131,0,0,0,1,0
288,92110,37,12,62,3,0.7,2,0,0,0,0,0,1
289,94306,44,19,172,2,4.3,3,391,1,1,1,1,0
290,92121,42,15,24,,1,2,0,0,0,0,1,1
291,92373,51,25,80,1,4.9,1,0,0,0,0,0,0
292,90089,43,16,8,3,0.67,2,88,0,0,0,1,0
293,94542,30,5,38,4,0.8,1,129,0,0,0,1,1
294,90095,45,19,93,4,2.6,3,0,0,0,0,0,0
295,94536,35,9,55,1,2,1,0,0,0,0,1,0
296,94304,60,34,64,2,1.7,3,0,0,0,0,0,1
297,90623,34,9,122,1,0,1,0,0,0,0,1,0
298,93720,55,25,70,3,1.4,3,0,0,0,0,1,0
299,92069,43,19,81,2,3.2,1,0,0,0,0,0,0
300,90057,41,15,159,1,5.5,3,0,1,0,1,1,0
301,92843,34,9,70,4,1.3,1,0,0,1,0,0,0
302,92120,65,39,150,2,6.9,1,196,0,0,0,0,0
303,94550,45,21,152,2,7.5,1,0,0,0,0,1,0
304,95605,49,25,195,4,3,1,617,1,0,0,0,0
305,90740,48,23,22,1,0.1,1,0,0,0,0,0,0
306,91207,60,35,22,1,1.3,1,123,0,0,0,1,0
307,92373,55,29,79,3,0.8,1,0,0,0,0,1,1
308,90401,42,18,33,1,1.4,3,0,0,0,0,1,0
309,94720,32,8,128,2,4.33,1,0,0,0,1,1,1
310,95929,62,38,91,1,3.8,1,0,0,1,0,1,0
311,90277,57,32,39,4,0.9,1,0,0,0,0,1,1
312,94550,52,26,121,1,7.3,1,167,0,0,0,1,0
313,91741,36,6,21,1,0.67,3,0,0,1,0,1,0
314,93720,34,9,41,3,2.3,1,0,0,0,0,0,1
315,93437,63,37,45,2,0.7,3,0,0,0,0,1,0
316,90630,24,-2,51,3,0.3,3,0,0,0,0,1,0
317,95054,57,31,165,1,1.6,2,0,1,0,0,1,0
318,91335,40,16,119,2,4.2,2,0,1,0,0,1,0
319,95670,27,2,110,4,1.8,3,190,0,0,0,1,0
320,90034,65,39,20,3,0.7,2,0,0,0,0,0,1
321,90266,60,34,64,1,0.8,2,248,0,0,0,0,0
322,92717,44,20,101,3,4.4,2,82,1,0,0,0,0
323,92007,63,39,101,1,3.9,1,0,1,1,1,1,0
324,90034,59,34,99,1,4.4,1,0,1,0,0,0,0
325,90089,56,30,158,4,6.1,1,0,1,0,0,0,0
326,95039,54,28,89,1,1.9,2,0,0,0,0,1,1
327,95616,52,27,80,1,1.3,3,0,0,0,1,1,1
328,91330,58,32,114,2,2,1,402,0,0,0,1,0
329,94110,60,35,49,3,0.5,2,0,0,0,0,1,1
330,90064,28,4,191,1,6.33,1,0,0,0,0,1,0
331,92374,54,30,78,4,1,2,0,0,0,0,1,0
332,94115,32,6,28,3,1,1,0,0,0,0,0,0
333,95630,59,33,42,1,0.8,2,0,0,0,0,1,0
334,92407,63,38,140,1,2.5,1,0,0,0,0,0,0
335,95053,48,23,45,1,1.3,2,0,0,0,0,1,0
336,95827,56,32,122,2,0.3,1,360,0,0,1,1,1
337,95051,36,12,65,3,2.6,2,0,0,0,0,1,0
338,94117,57,27,68,1,1.4,3,0,0,0,0,1,0
339,93657,29,3,153,2,2,1,392,0,0,0,0,0
340,92110,39,13,89,4,1.4,2,0,0,0,0,0,0
341,93524,59,34,91,1,2.6,1,0,0,0,0,1,1
342,92038,31,6,55,4,2,2,185,0,0,0,1,0
343,91304,43,19,118,2,3.3,1,0,0,0,0,0,1
344,93407,35,5,22,1,0.67,3,103,0,0,0,0,0
345,92606,54,24,63,3,1.4,3,138,0,0,0,1,1
346,92192,51,27,12,4,0.5,2,78,0,1,0,1,0
347,90745,44,19,50,3,2.7,2,0,0,0,0,1,0
348,94305,25,0,43,2,1.6,3,0,0,1,1,1,1
349,95060,40,15,173,4,6.6,1,0,1,0,1,1,1
350,93407,26,2,60,2,3,1,132,1,0,0,0,0
351,94301,39,14,113,1,1,3,0,0,1,0,1,0
352,92182,28,4,155,4,5.3,2,0,1,0,0,1,0
353,92692,52,28,91,4,1,2,0,0,0,0,0,1
354,95818,53,29,55,4,1.1,2,0,0,0,0,1,0
355,90277,44,20,173,2,1.4,1,419,0,0,0,1,0
356,92101,43,19,71,3,0.3,3,0,0,0,0,0,1
357,94704,56,30,24,2,0.4,3,88,0,0,0,0,0
358,94610,38,14,42,1,2,2,81,0,0,0,1,0
359,94539,30,6,141,2,4.33,1,0,0,0,0,1,0
360,93106,32,6,32,1,1.9,3,0,0,0,0,1,0
361,94539,35,10,55,4,1.3,1,0,0,0,0,0,0
362,90254,43,19,153,2,7.5,1,0,0,0,0,1,0
363,94590,58,32,113,2,1.4,1,270,0,0,0,0,1
364,92691,25,0,30,2,1.7,2,0,0,0,0,0,0
365,92028,54,24,29,3,1,3,148,0,0,0,0,1
366,90089,57,32,174,1,6.8,2,466,1,0,0,1,0
367,92717,50,24,35,1,0.3,3,0,0,0,0,1,0
368,95054,32,8,98,2,2,2,175,0,0,0,1,0
369,92054,63,37,30,2,1,3,159,0,0,0,1,0
370,95051,31,6,58,2,2.5,1,0,0,0,0,0,1
371,92101,36,12,25,4,1,1,147,0,0,0,0,0
372,92029,58,34,19,4,0.7,1,0,0,0,0,0,0
373,93105,56,30,44,4,0.7,2,174,0,0,0,1,0
374,90291,49,25,20,4,1,1,111,0,0,0,1,1
375,91941,30,5,98,2,3.1,1,220,0,0,0,1,0
376,92346,33,7,90,3,1.6,1,0,0,0,0,1,0
377,94304,45,21,61,3,0.7,1,0,0,0,0,0,0
378,94402,30,5,40,4,2,2,0,0,0,0,1,0
379,94618,47,23,38,2,2.1,3,0,0,0,0,0,0
380,92093,25,0,28,2,1.7,2,0,0,0,0,0,0
381,94305,63,33,34,1,1.5,3,0,0,0,0,1,1
382,95616,55,29,73,2,2.3,3,0,0,0,0,1,1
383,94904,65,41,133,4,2,1,0,1,0,0,0,1
384,94608,44,18,53,1,0.2,1,0,0,0,0,1,0
385,9307,51,25,21,4,0.6,3,0,0,0,0,1,1
386,93943,35,9,40,3,0.9,1,0,0,0,0,1,0
387,95051,30,5,41,4,1.7,2,0,0,0,0,1,0
388,95482,31,5,82,4,1.8,2,0,0,0,0,1,0
389,95814,54,30,100,4,3.4,3,0,1,0,0,0,0
390,90024,45,20,155,1,7,1,0,0,0,0,1,1
391,92521,45,19,45,1,0.2,1,0,0,0,0,1,0
392,94080,58,32,9,3,0.3,3,0,0,0,0,0,1
393,91709,54,29,48,4,1.8,3,0,0,0,0,1,0
394,90095,53,28,18,4,0.1,3,109,0,1,1,1,1
395,91311,33,9,80,4,3.4,1,0,0,0,0,1,1
396,94509,60,35,64,2,2.8,1,0,0,0,0,0,0
397,93023,50,24,29,4,0.1,1,0,0,0,0,0,0
398,90503,26,2,48,3,0.7,2,0,0,0,0,1,0
399,94608,54,30,23,2,0.4,1,0,0,0,0,0,0
400,90024,28,3,84,4,0.2,1,0,0,0,0,1,1
401,94542,36,10,179,3,6.6,1,0,1,0,0,1,0
402,95747,29,2,30,4,1.5,2,112,0,0,0,0,1
403,91604,54,28,93,1,4.9,1,133,0,0,1,1,1
404,92647,55,30,39,2,1.9,2,0,0,0,0,0,0
405,92866,61,36,60,3,0.5,2,182,0,0,0,0,0
406,90245,36,11,133,1,3.8,1,290,0,1,1,1,1
407,92354,45,19,125,1,2.4,1,0,0,0,0,0,0
408,93437,64,40,58,1,1.8,3,0,0,0,0,1,0
409,91745,60,36,89,2,2.8,1,0,0,0,0,1,0
410,90019,49,22,82,1,2.67,2,125,0,0,0,1,0
411,94111,47,23,110,2,3.3,1,0,0,0,0,1,1
412,92182,60,36,54,4,2.3,3,0,0,1,0,0,0
413,93311,45,20,89,4,1.9,3,0,0,0,0,1,0
414,92407,32,7,42,3,2.3,1,0,0,0,0,1,0
415,94309,52,28,41,3,1.9,2,0,0,0,0,0,1
416,93106,35,8,38,4,1,2,124,0,0,0,1,0
417,94304,40,15,85,2,0.4,1,0,0,0,0,1,0
418,90073,53,29,83,4,1,2,0,0,0,0,1,0
419,90089,27,0,33,4,1,3,0,0,0,0,0,0
420,94501,58,33,50,4,2.1,1,0,0,0,0,0,1
421,93105,47,22,58,4,3.6,3,0,0,0,0,1,1
422,92333,28,3,115,4,3.1,2,0,1,0,0,0,0
423,91380,46,20,145,2,6.3,1,0,0,1,1,1,0
424,95616,43,19,161,2,7.5,1,0,0,0,0,0,0
425,92029,56,30,38,1,0.2,1,0,0,0,0,0,0
426,90505,28,3,28,4,0.8,1,0,0,0,0,1,0
427,92182,42,18,75,3,2.33,1,0,0,0,0,0,1
428,92521,32,7,35,3,1.3,1,116,0,0,0,0,1
429,94720,62,38,24,2,1,1,116,0,0,0,0,1
430,94998,37,13,78,4,0.1,2,0,0,0,0,1,0
431,94086,51,26,113,1,1.3,3,161,0,0,0,1,0
432,94305,39,13,75,3,2.1,1,224,0,0,0,1,0
433,91311,43,17,91,1,5.7,1,0,0,0,0,1,0
434,91330,52,28,31,4,0.2,1,141,0,0,0,1,1
435,95819,30,6,45,1,1.8,2,0,0,0,0,1,0
436,94709,52,26,80,3,0.8,1,0,0,0,0,0,0
437,92122,61,35,50,3,1.4,3,112,0,0,0,1,0
438,95825,36,9,31,4,1,2,0,0,1,0,1,0
439,93943,58,32,113,2,3.8,2,119,1,0,1,1,1
440,94304,47,23,29,4,0.6,1,0,0,0,0,1,0
441,92626,64,39,59,2,1.5,1,139,0,0,0,1,0
442,93555,52,27,43,1,1.3,2,0,0,1,0,1,0
443,95136,58,28,122,1,3,3,115,1,0,0,1,0
444,90509,48,24,29,1,1,1,0,0,0,0,0,0
445,93106,64,40,91,2,0,3,0,0,0,0,1,1
446,94590,58,32,65,3,2.2,3,0,0,0,0,1,0
447,93108,47,23,22,1,1,1,0,0,0,0,0,1
448,95134,49,23,71,1,1.4,3,0,0,0,0,0,0
449,94588,31,4,60,4,2,2,0,0,0,0,1,1
450,91706,61,37,60,3,2,3,0,0,0,0,1,0
451,95747,51,25,69,1,0.3,1,0,0,0,0,1,1
